c5,c119,gemma3_4b_it_triplets,phi4mini_instruct_triplets,gemma3_4b_it_triplets_clean,phi4mini_instruct_triplets_clean
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG","<RPM LOSS, HAS EFFECT, COULD NOT MAINTAIN ALTITUDE>
<PILOT, USED BY, AIRCRAFT>","<CRUISE FLIGHT, EVENT DISTANCE, -23>
<PILOT, HAS EFFECT, RPM LOSS>
<PILOT, HAS EFFECT, COULD NOT MAINTAIN ALTITUDE>
<PILOT, ACTION, MADE AN EMERG>","<RPM LOSS, HAS EFFECT, COULD NOT MAINTAIN ALTITUDE>
<PILOT, USED BY, AIRCRAFT>","<CRUISE FLIGHT, EVENT DISTANCE, -23>
<PILOT, HAS EFFECT, RPM LOSS>
<PILOT, HAS EFFECT, COULD NOT MAINTAIN ALTITUDE>
<PILOT, ACTION, MADE AN EMERG>"
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,"<NOSE BAGGAGE DOOR, OPENED ON, TAKEOFF>
<BAGGAGE, HIT, LEFT PROP>
<BELWO UMC, GOT, NOSE BAGGAGE DOOR>
<LANDED ON, SEA ICE, NOSE BAGGAGE DOOR>
<WILL FLY, DOOR OPEN, NOSE BAGGAGE DOOR>","<NOSE BAGGAGE DOOR, EVENT DISTANCE, TAKEOFF>
<BAGGAGE, HAS CAUSE, HIT LEFT PROP>
<BELWO UMC, HAS EFFECT, LANDED ON SEA ICE>
<WILL FLY DOOR, EVENT DISTANCE, TAKEOFF>","<NOSE BAGGAGE DOOR, OPENED ON, TAKEOFF>
<BAGGAGE, HIT, LEFT PROP>
<BELWO UMC, GOT, NOSE BAGGAGE DOOR>
<LANDED ON, SEA ICE, NOSE BAGGAGE DOOR>
<WILL FLY, DOOR OPEN, NOSE BAGGAGE DOOR>","<NOSE BAGGAGE DOOR, EVENT DISTANCE, TAKEOFF>
<BAGGAGE, HAS CAUSE, HIT LEFT PROP>
<BELWO UMC, HAS EFFECT, LANDED ON SEA ICE>
<WILL FLY DOOR, EVENT DISTANCE, TAKEOFF>"
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,"<ROUGH ENGINE, HAS CAUSE, SPARK PLUGS OUT OF TOLERENCE>
<LANDED, HAS EFFECT, CITY STREET>
<PRIMER UNLOCKED, PART OF, ROUGH ENGINE>","<ROUGH ENGINE, ON, CLIMBOUT>
<ROUGH ENGINE, EVENT DISTANCE, LANDED ON CITY STREET>
<SPARK PLUGS, OUT OF TOLERANCE>
<PRIMER, UNLOCKED>","<ROUGH ENGINE, HAS CAUSE, SPARK PLUGS OUT OF TOLERENCE>
<LANDED, HAS EFFECT, CITY STREET>
<PRIMER UNLOCKED, PART OF, ROUGH ENGINE>","<ROUGH ENGINE, ON, CLIMBOUT>
<ROUGH ENGINE, EVENT DISTANCE, LANDED ON CITY STREET>
<SPARK PLUGS, OUT OF TOLERANCE>
<PRIMER, UNLOCKED>"
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH","<NOSE LANDING GEAR, HAS EFFECT, GREEN LIGHT WAS OUT>
<GREEN LIGHT, HAS EFFECT, VERIFY>","<CFI, EVENT DISTANCE, TAXI OUT>
<NOSE LANDING GEAR, CONDITION, GREEN LIGHT OUT>
<CFI, ACTION, ATTEMPTED TO SWAP LIGHTS>","<NOSE LANDING GEAR, HAS EFFECT, GREEN LIGHT WAS OUT>
<GREEN LIGHT, HAS EFFECT, VERIFY>","<CFI, EVENT DISTANCE, TAXI OUT>
<NOSE LANDING GEAR, CONDITION, GREEN LIGHT OUT>
<CFI, ACTION, ATTEMPTED TO SWAP LIGHTS>"
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR","<IFR DUAL FLIGHT, INSTANCE OF, ELECTRIC POWER LOSS>
<ELECTRIC POWER LOSS, HAS CAUSE, PILOT ERROR>
<ELECTRIC POWER LOSS, FOLLOWED BY, FORCED LANDING>
<FORCED LANDING, HAS EFFECT, STRUCK POWER POLE>
<STRUCK POWER POLE, MAINTAINED BY, POWER POLE>
<CIRCUIT BREAKER, HAS EFFECT, POWER>","<ELECTRIC POWER, HAS CAUSE, STRUCK POWER POLE>
<STRUCK POWER POLE, EVENT DISTANCE, FORCED LANDING>
<PILOT ERROR, HAS CAUSE, STRUCK POWER POLE>","<IFR DUAL FLIGHT, INSTANCE OF, ELECTRIC POWER LOSS>
<ELECTRIC POWER LOSS, HAS CAUSE, PILOT ERROR>
<ELECTRIC POWER LOSS, FOLLOWED BY, FORCED LANDING>
<FORCED LANDING, HAS EFFECT, STRUCK POWER POLE>
<STRUCK POWER POLE, MAINTAINED BY, POWER POLE>
<CIRCUIT BREAKER, HAS EFFECT, POWER>","<ELECTRIC POWER, HAS CAUSE, STRUCK POWER POLE>
<STRUCK POWER POLE, EVENT DISTANCE, FORCED LANDING>
<PILOT ERROR, HAS CAUSE, STRUCK POWER POLE>"
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         ,"<BANG, HAS CAUSE, SPARKS>
<SPARKS, HAS EFFECT, ROTOR>
<ENGINE COWLING, PART OF, COWLING>
<COWLING, INSTANCE OF, SEPERATED>
<COWLING, MAINTAINED BY, NOT FASTENED>","<ENGINE COWLING, HAS CAUSE, SEPERATED>
<COWL, NOT FASTENED, ENGINE COWLING SEPERATED>","<BANG, HAS CAUSE, SPARKS>
<SPARKS, HAS EFFECT, ROTOR>
<ENGINE COWLING, PART OF, COWLING>
<COWLING, INSTANCE OF, SEPERATED>
<COWLING, MAINTAINED BY, NOT FASTENED>","<ENGINE COWLING, HAS CAUSE, SEPERATED>
<COWL, NOT FASTENED, ENGINE COWLING SEPERATED>"
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,"<REPORTED PROBLEM, INSTANCE OF, STALLED AND CRASHED>
<REPORTED PROBLEM, HAS EFFECT, NO LOCKING PINS IN SEAT TRACK>
<REPORTED PROBLEM, HAS EFFECT, SEAT PIN BENT>
<REPORTED PROBLEM, HAS CAUSE, BELT NOT FASTENED>","<REPORTED PROBLEM, CLIMBOUT, STALLED AND CRASHED>
<REPORTED PROBLEM, CLIMBOUT, NO LOCKING PINS IN SEAT TRACK>
<REPORTED PROBLEM, CLIMBOUT, SEAT PIN BENT>
<REPORTED PROBLEM, CLIMBOUT, BELT NOT FASTENED>","<REPORTED PROBLEM, INSTANCE OF, STALLED AND CRASHED>
<REPORTED PROBLEM, HAS EFFECT, NO LOCKING PINS IN SEAT TRACK>
<REPORTED PROBLEM, HAS EFFECT, SEAT PIN BENT>
<REPORTED PROBLEM, HAS CAUSE, BELT NOT FASTENED>","<REPORTED PROBLEM, CLIMBOUT, STALLED AND CRASHED>
<REPORTED PROBLEM, CLIMBOUT, NO LOCKING PINS IN SEAT TRACK>
<REPORTED PROBLEM, CLIMBOUT, SEAT PIN BENT>
<REPORTED PROBLEM, CLIMBOUT, BELT NOT FASTENED>"
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"<POWER LOSS, HAS CAUSE, FORCED LANDING>
<FOUND WATER IN FUEL, HAS EFFECT, FORCED LANDING>","<POWER LOSS, HAS CAUSE, FORCED LANDING>
<POWER LOSS, HAS CAUSE, FOUND WATER IN FUEL>","<POWER LOSS, HAS CAUSE, FORCED LANDING>
<FOUND WATER IN FUEL, HAS EFFECT, FORCED LANDING>","<POWER LOSS, HAS CAUSE, FORCED LANDING>
<POWER LOSS, HAS CAUSE, FOUND WATER IN FUEL>"
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.                              ,"<AIRPLANE, INSTANCE OF, LOST CONTROL>
<LOST CONTROL, HAS CAUSE, FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN>
<TAKE OFF ROLL, EVENT DISTANCE, LOST CONTROL>","<LOST CONTROL OF AIRPLANE, CAUSE, FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN>","<AIRPLANE, INSTANCE OF, LOST CONTROL>
<LOST CONTROL, HAS CAUSE, FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN>
<TAKE OFF ROLL, EVENT DISTANCE, LOST CONTROL>","<LOST CONTROL OF AIRPLANE, CAUSE, FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN>"
19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ","<PILOT, LANDED IN, FIELD>
<PILOT, FOLLOWED BY, RAN ROUGH>
<ENGINE, HAS EFFECT, CLAIMS WATER IN FUEL>","<PILOT, EVENT DISTANCE, RAIN SHOWER>
<PILOT, USED BY, ENGINE>
<PILOT, LOCATION, FIELD>
<ENGINE, HAS EFFECT, WATER IN FUEL>","<PILOT, LANDED IN, FIELD>
<PILOT, FOLLOWED BY, RAN ROUGH>
<ENGINE, HAS EFFECT, CLAIMS WATER IN FUEL>","<PILOT, EVENT DISTANCE, RAIN SHOWER>
<PILOT, USED BY, ENGINE>
<PILOT, LOCATION, FIELD>
<ENGINE, HAS EFFECT, WATER IN FUEL>"
20060621012279A,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE","<PILOT, STATED THAT, TAKEOFF>
<TAKEOFF, HAS EFFECT, OVERROTATE>
<ROTATION, FOLLOWED BY, OVERROTATE>","<SEAT, CAUSE, OVERROTATE>
<SEAT, EVENT DISTANCE, TAKEOFF>
<SEAT, EVENT DISTANCE, ROTATION>","<PILOT, STATED THAT, TAKEOFF>
<TAKEOFF, HAS EFFECT, OVERROTATE>
<ROTATION, FOLLOWED BY, OVERROTATE>","<SEAT, CAUSE, OVERROTATE>
<SEAT, EVENT DISTANCE, TAKEOFF>
<SEAT, EVENT DISTANCE, ROTATION>"
19950314029269I,"NARRATIVE: ON MARCH 14, 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLO","<N7016M, INSTANCE OF, AMATEUR BUILT AIRCRAFT>
<MARCH 14, 1995, TIME PERIOD, 1995>
<EMERGENCY OFF AIRPORT LANDING, LOCATION, NEAR THE BLO>","<N7016M, EVENT DISTANCE, MARCH 14, 1995>
<N7016M, USED BY, AMATEUR BUILT AIRCRAFT>","<N7016M, INSTANCE OF, AMATEUR BUILT AIRCRAFT>
<MARCH 14, 1995, TIME PERIOD, 1995>
<EMERGENCY OFF AIRPORT LANDING, LOCATION, NEAR THE BLO>","<N7016M, EVENT DISTANCE, MARCH 14, 1995>
<N7016M, USED BY, AMATEUR BUILT AIRCRAFT>"
19800804037399A,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.       ,"<FUEL EXHAUSTION, HAS CAUSE, FUEL SIPHONING>
<FUEL EXHAUSTION, HAS EFFECT, OVERSHOT EMERGENCY LANDING AREA>","<FUEL EXHAUSTION, HAS CAUSE, FUEL SIPHONING>
<FUEL EXHAUSTION, HAS CAUSE, IMPROPERLY SECURED VENT CAP>
<FUEL EXHAUSTION, HAS EFFECT, OVERSHOT EMERGENCY LANDING AREA>","<FUEL EXHAUSTION, HAS CAUSE, FUEL SIPHONING>
<FUEL EXHAUSTION, HAS EFFECT, OVERSHOT EMERGENCY LANDING AREA>","<FUEL EXHAUSTION, HAS CAUSE, FUEL SIPHONING>
<FUEL EXHAUSTION, HAS CAUSE, IMPROPERLY SECURED VENT CAP>
<FUEL EXHAUSTION, HAS EFFECT, OVERSHOT EMERGENCY LANDING AREA>"
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,"<TAXIING AIRCRAFT, STUCK, PARKED AIRCRAFT>
<INEFFECTIVE BRAKES, HAS CAUSE, WORN OUT>","<TAXIING AIRCRAFT, HAS CAUSE, INEFFECTIVE BRAKES>
<INACTIVE AIRCRAFT, CAUSE, TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT>","<TAXIING AIRCRAFT, STUCK, PARKED AIRCRAFT>
<INEFFECTIVE BRAKES, HAS CAUSE, WORN OUT>","<TAXIING AIRCRAFT, HAS CAUSE, INEFFECTIVE BRAKES>
<INACTIVE AIRCRAFT, CAUSE, TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT>"
19890725041869I,ON ENGINE START PILOTS SEAT WENT TO FULL AFT POSITION. PUSH THROTTLE IN FULL. AIRCRAFT COLLIDED WITH PARKED PLANE. ,"<PILOTS SEAT, WENT TO, FULL AFT POSITION>
<AIRCRAFT, COLLIDED WITH, PARKED PLANE>","<ENGINE START, PILOTS SEAT, FULL AFT POSITION>
<PUSH THROTTLE IN, AIRCRAFT, COLLIDED WITH PARKED PLANE>","<PILOTS SEAT, WENT TO, FULL AFT POSITION>
<AIRCRAFT, COLLIDED WITH, PARKED PLANE>","<ENGINE START, PILOTS SEAT, FULL AFT POSITION>
<PUSH THROTTLE IN, AIRCRAFT, COLLIDED WITH PARKED PLANE>"
19911222062669I,AFTER LIFTOFF PILOT NOTICED RIGHT FUEL CAP MISSING. ABORTED. LANDED ON SAME RUNWAY. RAN OFF SIDE OF RUNWAY.        ,"<LIFTOFF, FOLLOWED BY, PILOT NOTICED RIGHT FUEL CAP MISSING>
<ABORTED, HAS CAUSE, RIGHT FUEL CAP MISSING>
<Landed, LOCATION, SAME RUNWAY>
<RAN OFF SIDE OF RUNWAY, HAS EFFECT, >","<FIRST FUEL CAP, MISSING, AFTER LIFTOFF>
<ABORTED, EVENT DISTANCE, AFTER LIFTOFF>
<LANDED, LOCATION, SAME RUNWAY>
<RAN, LOCATION, OFF SIDE OF RUNWAY>","<LIFTOFF, FOLLOWED BY, PILOT NOTICED RIGHT FUEL CAP MISSING>
<ABORTED, HAS CAUSE, RIGHT FUEL CAP MISSING>
<Landed, LOCATION, SAME RUNWAY>
<RAN OFF SIDE OF RUNWAY, HAS EFFECT, >","<FIRST FUEL CAP, MISSING, AFTER LIFTOFF>
<ABORTED, EVENT DISTANCE, AFTER LIFTOFF>
<LANDED, LOCATION, SAME RUNWAY>
<RAN, LOCATION, OFF SIDE OF RUNWAY>"
20030607012509A,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL","<AIRCRAFT, DEPARTED FROM, BARTLESVILLE MUNICIPAL AIRPORT>
<BARTLESVILLE MUNICIPAL AIRPORT, LOCATION, BARTLESVILLE, OK>
<DEPARTURE TIME, TIME PERIOD, 1147 AM>","<BARTLESVILLE MUNICIPAL AIRPORT, LOCATION, BARTLESVILLE, OK>
<LOCAL FLIGHT, DEPARTURE TIME, 1147 AM LOCAL TIME>","<AIRCRAFT, DEPARTED FROM, BARTLESVILLE MUNICIPAL AIRPORT>
<BARTLESVILLE MUNICIPAL AIRPORT, LOCATION, BARTLESVILLE, OK>
<DEPARTURE TIME, TIME PERIOD, 1147 AM>","<BARTLESVILLE MUNICIPAL AIRPORT, LOCATION, BARTLESVILLE, OK>
<LOCAL FLIGHT, DEPARTURE TIME, 1147 AM LOCAL TIME>"
19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,"<PILOT, USED BY, BRAKE>
<BRAKE, HAS CAUSE, REMAINING BRAKE FAILED>
<RUNWAY, LOCATION, END OF RUNWAY>","<PILOT, EVENT DISTANCE, END OF RUNWAY>
<REMAINING BRAKE, HAS CAUSE, PILOT RAN OFF END OF RUNWAY>","<PILOT, USED BY, BRAKE>
<BRAKE, HAS CAUSE, REMAINING BRAKE FAILED>
<RUNWAY, LOCATION, END OF RUNWAY>","<PILOT, EVENT DISTANCE, END OF RUNWAY>
<REMAINING BRAKE, HAS CAUSE, PILOT RAN OFF END OF RUNWAY>"
19781210024199I,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.                        ,"<WHEELS LOCKED UP, HAS CAUSE, SNOW PACKED>
<WHEELS LOCKED UP, LOCATION, WHEEL PANTS>","<WHEELS, HAS EFFECT, LOCKED UP>
<SEVERAL TOUCH AND GO LANDINGS, CAUSE, SNOW PACKED IN THE WHEEL PANTS>","<WHEELS LOCKED UP, HAS CAUSE, SNOW PACKED>
<WHEELS LOCKED UP, LOCATION, WHEEL PANTS>","<WHEELS, HAS EFFECT, LOCKED UP>
<SEVERAL TOUCH AND GO LANDINGS, CAUSE, SNOW PACKED IN THE WHEEL PANTS>"
19950804028629A,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,"<LANDED HARD, HAS EFFECT, DAMAGED>
<DAMAGED, PART OF, FLOATS>
<DAMAGED, PART OF, LONGERON>
<WATER IN FUEL, HAS CAUSE, LOST POWER>
<WATER IN FUEL, HAS CAUSE, MISREAD>
<MISREAD, PART OF, WATER IN SUMP>","<LONGERON, DAMAGED BY, LOST POWER>
<LONGERON, HAS EFFECT, WATER IN FUEL>
<LONGERON, HAS EFFECT, MISREAD WATER IN SUMP TO BE FUEL>","<LANDED HARD, HAS EFFECT, DAMAGED>
<DAMAGED, PART OF, FLOATS>
<DAMAGED, PART OF, LONGERON>
<WATER IN FUEL, HAS CAUSE, LOST POWER>
<WATER IN FUEL, HAS CAUSE, MISREAD>
<MISREAD, PART OF, WATER IN SUMP>","<LONGERON, DAMAGED BY, LOST POWER>
<LONGERON, HAS EFFECT, WATER IN FUEL>
<LONGERON, HAS EFFECT, MISREAD WATER IN SUMP TO BE FUEL>"
20040304003309I,"(-23) AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRU","<AIRCRAFT, STARTED SLIDING, LEFT SIDE OF RUNWAY>
<AIRCRAFT, EVENT DISTANCE, -23>","<SLIDING OR HYDROPLANING, EVENT DISTANCE, AFTER NORMAL TOUCHDOWN>
<SLIDING OR HYDROPLANING, LOCATION, LEFT SIDE OF RUNWAY>","<AIRCRAFT, STARTED SLIDING, LEFT SIDE OF RUNWAY>
<AIRCRAFT, EVENT DISTANCE, -23>","<SLIDING OR HYDROPLANING, EVENT DISTANCE, AFTER NORMAL TOUCHDOWN>
<SLIDING OR HYDROPLANING, LOCATION, LEFT SIDE OF RUNWAY>"
19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,"<ENGINE COWLING, SEPARATED FROM, ENGINE>
<SEPARATION, HAS CAUSE, FLIGHT>","<ENGINE COWLING, SEPARATED FROM, ENGINE IN FLIGHT>","<ENGINE COWLING, SEPARATED FROM, ENGINE>
<SEPARATION, HAS CAUSE, FLIGHT>","<ENGINE COWLING, SEPARATED FROM, ENGINE IN FLIGHT>"
20070202001609A,"(-23) ON A FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA, (487 STATUTE MILES) THE AIRCRAFT LOST POWER NEAR GRINNELL","<FLIGHT, LOCATED IN, NOTH PLATTE>
<FLIGHT, LOCATED IN, NE>
<FLIGHT, DESTINATION, IOWA CITY>
<FLIGHT, LOCATED IN, IA>
<AIRCRAFT, EVENT DISTANCE, 487 STATUTE MILES>
<AIRCRAFT, LOST POWER, GRINNELL>","<FLIGHT, LOCATION, NOTH PLATTE>
<FLIGHT, LOCATION, IOWA CITY, IA>
<FLIGHT, EVENT DISTANCE, 487 STATUTE MILES>
<FLIGHT, EVENT DISTANCE, NEAR GRINNELL>","<FLIGHT, LOCATED IN, NOTH PLATTE>
<FLIGHT, LOCATED IN, NE>
<FLIGHT, DESTINATION, IOWA CITY>
<FLIGHT, LOCATED IN, IA>
<AIRCRAFT, EVENT DISTANCE, 487 STATUTE MILES>
<AIRCRAFT, LOST POWER, GRINNELL>","<FLIGHT, LOCATION, NOTH PLATTE>
<FLIGHT, LOCATION, IOWA CITY, IA>
<FLIGHT, EVENT DISTANCE, 487 STATUTE MILES>
<FLIGHT, EVENT DISTANCE, NEAR GRINNELL>"
19780916024019A,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,"<TIE DOWN STRAP, PART OF, TRAILER>
<TIE DOWN STRAP, LOCATION, LEFT SKID>
<TETHERED, FOLLOWS, TIE DOWN STRAP>
<HEPER, LOCATION, ?>","<TIE DOWN STRAP, ACROSS, LEFT SKID>
<TIE DOWN STRAP, CAUGHT ON, TRAILER>
<TIE DOWN STRAP, TETHERED, HEPER>","<TIE DOWN STRAP, PART OF, TRAILER>
<TIE DOWN STRAP, LOCATION, LEFT SKID>
<TETHERED, FOLLOWS, TIE DOWN STRAP>
<HEPER, LOCATION, ?>","<TIE DOWN STRAP, ACROSS, LEFT SKID>
<TIE DOWN STRAP, CAUGHT ON, TRAILER>
<TIE DOWN STRAP, TETHERED, HEPER>"
20060718018299I,(-23) THE PILOT IN COMMAND (PIC) FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE. SUB,"<PILOT IN COMMAND, FAILED TO ENSURE, FUEL TANK CAPS>
<FUEL TANK CAPS, HAS EFFECT, SECURELY FASTENED>
<DEPARTURE, FOLLOWED BY, PIC FAILURE>","<FAILURE TO SECURE FUEL TANK CAPS, CAUSE, PILOT IN COMMAND (PIC)>
<FAILURE TO SECURE FUEL TANK CAPS, HAS EFFECT, DEPARTURE>","<PILOT IN COMMAND, FAILED TO ENSURE, FUEL TANK CAPS>
<FUEL TANK CAPS, HAS EFFECT, SECURELY FASTENED>
<DEPARTURE, FOLLOWED BY, PIC FAILURE>","<FAILURE TO SECURE FUEL TANK CAPS, CAUSE, PILOT IN COMMAND (PIC)>
<FAILURE TO SECURE FUEL TANK CAPS, HAS EFFECT, DEPARTURE>"
20040925025079A,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,"<FUEL CONTAMINATION, HAS EFFECT, AIRFRAME FUEL FILTER>
<FUEL CONTAMINATION, HAS EFFECT, FUEL FILTER>
<FUEL CONTAMINATION, HAS EFFECT, ENGINE DRIVEN FUEL PUMP FILTER>","<FUEL CONTAMINATION, IN, AIRFRAME FUEL FILTER>
<FUEL CONTAMINATION, IN, FUEL FILTER>
<FUEL CONTAMINATION, IN, ENGINE DRIVEN FUEL PUMP FILTER>","<FUEL CONTAMINATION, HAS EFFECT, AIRFRAME FUEL FILTER>
<FUEL CONTAMINATION, HAS EFFECT, FUEL FILTER>
<FUEL CONTAMINATION, HAS EFFECT, ENGINE DRIVEN FUEL PUMP FILTER>","<FUEL CONTAMINATION, IN, AIRFRAME FUEL FILTER>
<FUEL CONTAMINATION, IN, FUEL FILTER>
<FUEL CONTAMINATION, IN, ENGINE DRIVEN FUEL PUMP FILTER>"
19961027033759A,PRIOR DEMO FLIGHT. CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP. BROKE. HIT COUNTER WT. BROKE PORP SHAFT,"<DEMO FLIGHT, FOLLOWED BY, PRIOR>
<CONNECTING ROD BENT BY, HAS CAUSE, HYDRO LOCK>
<CONNECTING ROD BENT BY, LOCATION, NR5 CYL>
<CONNECTING ROD BENT BY, TIME PERIOD, STARTUP>
<CONNECTING ROD BENT BY, HAS EFFECT, BROKE>
<BROKE, HAS EFFECT, HIT COUNTER WT>
<BROKE, HAS EFFECT, BROKE PORP SHAFT>","<CONNECTING ROD, BENT BY, HYDRO LOCK IN NR5 CYL ON STARTUP>
<CONNECTING ROD, BROKEN, HIT COUNTER WT>
<CONNECTING ROD, BROKEN, PORP SHAFT>","<DEMO FLIGHT, FOLLOWED BY, PRIOR>
<CONNECTING ROD BENT BY, HAS CAUSE, HYDRO LOCK>
<CONNECTING ROD BENT BY, LOCATION, NR5 CYL>
<CONNECTING ROD BENT BY, TIME PERIOD, STARTUP>
<CONNECTING ROD BENT BY, HAS EFFECT, BROKE>
<BROKE, HAS EFFECT, HIT COUNTER WT>
<BROKE, HAS EFFECT, BROKE PORP SHAFT>","<CONNECTING ROD, BENT BY, HYDRO LOCK IN NR5 CYL ON STARTUP>
<CONNECTING ROD, BROKEN, HIT COUNTER WT>
<CONNECTING ROD, BROKEN, PORP SHAFT>"
19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ","<AIRCRAFT, STUCK BY, N106DA>
<PILOT, UNAWARE OF, BRAKE PROBLEMS>
<BRAKE PROBLEMS, HAS EFFECT, AIRCRAFT>","<TAXIING, EVENT DISTANCE, STRUCK N106DA>
<BRAKE PROBLEMS, HAS EFFECT, PILOT WAS UNAWARE OF>","<AIRCRAFT, STUCK BY, N106DA>
<PILOT, UNAWARE OF, BRAKE PROBLEMS>
<BRAKE PROBLEMS, HAS EFFECT, AIRCRAFT>","<TAXIING, EVENT DISTANCE, STRUCK N106DA>
<BRAKE PROBLEMS, HAS EFFECT, PILOT WAS UNAWARE OF>"
20020619014309A,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q","<N759TY, INSTANCE OF, AIRCRAFT>
<CE-182, INSTANCE OF, AIRCRAFT>
<N759TY, FOLLOWED BY, Q>
<N759TY, LOCATION, HOT SPRINGS>
<HOT SPRINGS, LOCATION, ARKANSAS>
<N759TY, LOCATION, FAYETTEVILLE>
<FAYETTEVILLE, LOCATION, TENNESSEE>",,"<N759TY, INSTANCE OF, AIRCRAFT>
<CE-182, INSTANCE OF, AIRCRAFT>
<N759TY, FOLLOWED BY, Q>
<N759TY, LOCATION, HOT SPRINGS>
<HOT SPRINGS, LOCATION, ARKANSAS>
<N759TY, LOCATION, FAYETTEVILLE>
<FAYETTEVILLE, LOCATION, TENNESSEE>",
